Time elapsed: 45631ms	45s		100%
Time elapsed: 33287ms	33s		72.9482150292564%
Time elapsed: 46104ms	46s		101.036576011922%
Time elapsed: 43401ms	43s		95.1129714448511%
Time elapsed: 43401ms	43s		95.1129714448511%
Time elapsed: 49658ms	49s		108.825140803401%
Time elapsed: 49658ms	49s		108.825140803401%
Time elapsed: 49658ms	49s		108.825140803401%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5290ms	5s		11.5929959895685%
Time elapsed: 5113ms	5s		11.2051017948325%
Time elapsed: 4833ms	4s		10.5914838596568%
Time elapsed: 408ms	0s		0.894128991255944%
